title,company,link,description,location,date_added,date_posted,job_type,salary,apply_text,status
Urgent HR ServiceNow with Business Analyst Consultant (Remote),3A Soft Inc,https://www.dice.com/job-detail/92b45373-c6b0-4ae6-a4e4-d81f2d7cd23e,Key responsibilities of consultant: Develop and manage project plansDual role acts as Business AnalystObtains functional requirementsResponsible for system and process design for HR Service DeskLeads UAT and functional reviewsManages the setup and configuration of the Knowledge Base for HRSDAssist with the implementation and support for the HRSD implementation,Remote,08/13/2025,Today,Contract,Depends on Experience,Easy Apply,Applied
PowerBI Architect,"KPI Partners, Inc.",https://www.dice.com/job-detail/d9b1a9ac-da4b-42cc-a04b-e09e3add0cad,"KPI Partners, A global consulting firm focused on strategy, technology, and digital transformation. We help companies tackle their most ambitious projects and build new capabilities. We provide solutions in Cloud, Data, Application Development & BI spaces. We enable your growth At KPI, you can become who you want to be and learn skills that will take you further in your career Continuously upgrade yourself Develop as a future leader Drive cloud enablement around the world Engineering Excellence",Remote,08/18/2025,Today,Full-time,"$160,000 - $170,000",Easy Apply,Applied
GenAI Engineer,Balin Technologies LLC,https://www.dice.com/job-detail/fbfc5b4c-fd2a-48ca-a5b9-70fcbf9239cf,"Role: GenAI EngineerLocation: Parsippany, NJ(hybrid) Skills Set:Artificial Intelligence & Machine Learning: LangChain, LangGraph, LangSmith, Hugging Face, RAG, Gemini Models, GenAI, AI Agents, Agentic AI, n8n, gong, Outreach, Microsoft Azure AI foundry, Microsoft Copilot, NLP, Sentiment Analysis, TensorFlow, PyTorch, Scikit-learn, MLflow, NumPy, Pandas, Deep Learning, MLOps, Azure Machine Learning, LoRA,QLoRA, PEFT, and RLHF Microsoft 365 & Power Platform: Power Apps (Canvas & Model-driven), Pow","Hybrid in Parsippany-Troy Hills, New Jersey",08/18/2025,Today,Contract,Depends on Experience,Easy Apply,Applied
Forward Deployed Software Engineer,Tek Inspirations LLC,https://www.dice.com/job-detail/8472a685-8fda-4ebd-9259-b49d03f8ba7a,"Job Description - Forward Deployed Software Engineer Job ID: EX7712 Location: Hybrid required travel (Phoenix, Tristate (NY, NJ, Connecticut, Ohio)) Must be a U.S. Military Veteran Experience: Mid to Senior Level Skills: Palantir Foundry, AIP, or similar platforms is highly valued, LLM, ML, Spark, React As a Forward Deployed Software Engineer, you will be at the forefront of solving complex, high-impact challenges by working directly with clients to design and deliver full-stack data and softwa","Remote or Hybrid in Jersey City, New Jersey",08/12/2025,Today,Contract,$60 - $90,Easy Apply,Applied
Data Engineer,Apex Systems,https://www.dice.com/job-detail/d6c230cd-f715-48b9-9780-3f670d14c7fe,"Job#: 2085567 Job Description: Position Overview: The Principal Data Analytics & Engineer will be responsible for leading data-driven initiatives and implementing advanced analytical solutions within the Nuclear IT division. This role requires a strong background in data engineering, analytics, and nuclear industry knowledge to drive decision-making and optimize operations. Key Responsibilities: Lead the design, development, and deployment of data analytics solutions to support nuclear operatio","North Palm Beach, Florida",08/15/2025,Today,Full-time,,Easy Apply,Applied
Sr. Software Engineer (C++/AI),TechSpace Solutions Inc.,https://www.dice.com/job-detail/6b523fed-e261-46b6-b693-a1f1970e3f1b,Job Title: Sr. Software Engineer (C++/AI) Location: California (Remote) Duration: 12 Months Key Responsibilities Ensure the reliability and performance of production systemsDevelop and maintain dashboards to provide monitoring and system insightsImplement instrumentation and logging for enhanced system observabilityDesign and maintain automated tests to ensure code qualityDrive logging and automation initiatives across the stackFocus on development within the server-side stack Required Qualific,Remote,08/18/2025,Today,"Contract, Third Party",Depends on Experience,Easy Apply,Applied
"W2 - Sr Data Science Analyst (Python, Google Cloud Platform, Vertix AI, Data modeling/ data exploration tools) - Remote",Tanson Corp,https://www.dice.com/job-detail/a1b2db3a-1f95-4d59-b213-e2a786208d1e,"Duties: Job Summary: Data Scientists at client Clinic perform detailed analysis of large bodies of heterogeneous data in order to discover new patterns and insights having an impact upon patient health and augmenting human capabilities. Candidate has advanced expertise in AI, machine learning, deep learning, statistical data processing, regression techniques, neural networks, decision trees, clustering, pattern recognition, probability theory and data science methods and the mathematical theori",Remote or Hybrid in Minnesota,08/18/2025,Today,Contract,,Easy Apply,Applied
Azure Data Engineer with Investment Banking Experiences - Hybrid Onsite NYC,NJTECH INC.,https://www.dice.com/job-detail/fa897a8c-6ff8-4d12-a428-ee4a32c86fc1,"We are currently looking to hire a [Azure Data Engineer with Investment Banking Experiences] and we believe your skills and expertise are a better match for this role. We have an exciting career opportunity for you with one of our esteemed clients at [NYC] NJTECH is a globally managed IT services, IT consulting and business solutions partner. Our ""High Performance Business"" strategy builds our expertise in technology and consulting. We play a major role in helping our clients to achieve their o","Hybrid in New York, New York",08/18/2025,Today,Contract,$0 - $0,Easy Apply,Applied
IT Business Analyst,Genesis10,https://www.dice.com/job-detail/e62a99ea-64e2-4b15-92c7-54813417b959,"Genesis10 is currently seeking an IT Business Analyst with our client in the financial industry located in Newark, DE and Charlotte, NC. This is a 12+ month contract position. Responsibilities: Responsible for analysis and planning delivery of complex requirement by combining technical leadership, delivery coordination, and strong collaboration across Scrum teams in an Agile environment Lead the end-to-end delivery of containerized Spring boot APIs on OpenShift platform Work with technical produ","Newark, Delaware",08/12/2025,Today,Full-time,USD 43.56 - 51.56 per hour,Easy Apply,Applied
Java Programmer (Risk & Margin Systems),Denken Solutions,https://www.dice.com/job-detail/a43167ac-cacd-4da4-9f31-c6a7bd8261c8,"Currently, we are looking for talented resources for one of our listed clients. If interested please reply to me with your updated resume or feel free to reach out to me for more details at On-Site role Job Description: Required Skills: Core Java, Google Protocol Buffers, Kafka, RocksDB, Hazelcast, Redis Distributed Caching, Concurrent programming, Design patterns & Testing Frameworks. Sybase/DB2 knowledge is highly desirable. UI skills Angular / React is a plus. Responsibilities: Work as a d","New York, New York",08/18/2025,Today,Contract,USD 45-50,Easy Apply,Applied
