title,company,link,description,location,date_added,date_posted,job_type,salary,apply_text,status
Machine Learning Engineer with Generative AI,PETADATA,https://www.dice.com/job-detail/b7f7d305-da59-48e8-8228-0daa2178c3fe,"Job Title: Machine Learning Engineer with Generative AI Location: Las Vegas, NV - REMOTE EXPERIENCE: 12+ YRS Job Type: W2/C2C PETADATA is currently hiring for the position of Machine Learning Engineer with Generative AI for one of their clients. Job Overview: We seek a forward-thinking Machine Learning Engineer with a deep focus on Generative AI technologies within the Azure ecosystem. This pivotal role is dedicated to pioneering AI-driven solutions, mainly to deploy a state-of-the-art chatb","Las Vegas, Nevada",08/12/2025,Today,"Full-time, Third Party, Contract",,Easy Apply,Pending
Senior Machine Learning Engineer - MLOps & Platform Engineering,Myticas LLC,https://www.dice.com/job-detail/fd06c459-777e-4e8d-b151-38485bc6faa2,"We're currently seeking a seasoned Machine Learning Engineer who thrives at the intersection of data science, engineering, and operations. This role is ideal for someone who has not only mastered the craft of building and scaling ML solutions, but also knows how to put them into production, and keep them running smoothly. What You'll Be Doing: The role is a mix of MLOps, platform development, and hands-on model engineering. You'll be responsible for designing automated workflows that take ML mod","Remote or Toronto, Ontario",08/12/2025,Today,Contract,,Easy Apply,Pending
Product Engineer // Full Stack (React & Python) // Onsite (Soho NYC),"Motion Recruitment Partners, LLC",https://www.dice.com/job-detail/a6d9770f-904f-46cb-8cfd-b964997806a7,"We're building the AI-powered growth engine for financial advisors. Backed by Y Combinator and top venture firms, we help advisors identify and convert high-value prospects through predictive intent signals, personalized lead scoring, and automated multi-channel outreach. Trusted by fast-growing firms and industry leaders, our platform is reshaping how modern advisors acquire clients - and we're just getting started. We're looking for a full-stack engineer to take ownership of feature and produc","New York, New York",08/12/2025,Today,Full-time,140k - 210k,Easy Apply,Pending
Japanese Linguist II,PTR Global,https://www.dice.com/job-detail/445700e3-7168-4761-a5fd-5eefe1bfa499,"Job Title: Japanese Linguist II Location: open to all three locations New York, NY , Burlingame, CA and Seattle, WA Duration: 09+ months contract Job Description: Summary: Client is looking for a Linguist to help us develop language components for a variety of voiceenabled technologies and products. Client is seeking candidates with native fluency in Japanese with strong linguistic data analysis and language technology experience to manage data collection, LLM powered data synthesis and data a","Burlingame, California",08/12/2025,Today,Full-time,USD 40.00 - 50.00 per hour,Easy Apply,Pending
Korean Linguist II,PTR Global,https://www.dice.com/job-detail/d1f69155-9cab-4f59-913a-9272d890a110,"Locations: Washington / New York/ California Job Description: Korean Summary: Client is looking for a Linguist to help us develop language components for a variety of voice-enabled technologies and products. Client is seeking candidates with native fluency in Korean with strong linguistic data analysis and language technology experience to manage data collection, LLM-powered data synthesis and data annotation tasks, prompt engineering, localization and quality evaluations. Job Responsibilitie","Burlingame, California",08/12/2025,Today,Full-time,USD 45.00 - 55.00 per hour,Easy Apply,Pending
Frontend PowerBI Dashboard Developer,Rose International,https://www.dice.com/job-detail/9462e01a-8e18-4d76-b7ef-11be43f7d772,"Date Posted: 08/06/2025 Hiring Organization: Rose International Position Number: 486627 Industry: Manufacturing Job Title: Frontend PowerBI Dashboard Developer Job Location: Chillicothe, IL, USA, 61523 Work Model: Onsite Shift: M to F, 8 to 5 Employment Type: Temporary FT/PT: Full-Time Estimated Duration (In months): 10 Min Hourly Rate($): 45.00 Max Hourly Rate($): 48.00 Must Have Skills/Attributes: Cloud, PowerBI, Python, SQL Experience Desired: POWER BI Dashboard Developer experience","Chillicothe, Illinois",08/12/2025,Today,Full-time,USD 45.00 per hour,Easy Apply,Pending
MLOPS,Talent Groups,https://www.dice.com/job-detail/c3e8e127-fe2c-47ef-a1b9-03fa3bfb03d1,"Position: MLOPS (GPU Efficiency & Optimization) Location: Austin, TX/Sunnyvale, CA Job Description: Deep understanding of GPU efficiency & GPU optimization, Operate, monitor, and triage all aspects of our production and non-production environments. Automate deployment and orchestration of services into the cloud environment as well as other routine processes. Work on multiple cloud environment like AWS and Google Cloud Platform. Actively participate in capacity planning, scale testing, and disa","Austin, Texas",08/12/2025,Today,Contract,Depends on Experience,Easy Apply,Pending
Data Engineer,Korn Ferry,https://www.dice.com/job-detail/3e58afce-ec3b-447c-b9f4-f21870f68873,"We have partnered with our client in their search for a Data Engineer. Responsibilities Azure Data Engineering Architect and implement robust ETL pipelines using Azure Data Factory, Databricks, and Data Lake. Ensure seamless integration of data across enterprise systems for real-time analytics and reporting. Data Warehousing & Governance Design and deploy scalable, secure, and structured data warehousing solutions. Implement data governance frameworks ensuring compliance with PII and SOX stand","Remington, Indiana",08/12/2025,Today,Contract,$50 - $60 per hour,Easy Apply,Pending
Data Scientist,AgreeYa Solutions,https://www.dice.com/job-detail/0309bb6e-cac9-4969-9932-5ed3db965d6c,"Title- Data Scientist Location- Plano, TX- Onsite Type- Contract- C2C Works Duration- 18+ Months Visa- Open Job Description- As a Data Scientist specializing in Agentic AI and language graphs, you will design, develop, and optimize autonomous AI agents capable of complex reasoning and decision-making. You will leverage advanced language graph models to represent, analyze, and generate structured knowledge that enhances agent capabilities. This role requires a blend of strong data science skills","Plano, Texas",08/12/2025,Today,"Contract, Third Party",Depends on Experience,Easy Apply,Pending
"9+ Yrs | Java FSD with AWS and Kafka | Wilmington, DE- onsite| Local / Nearby locations | W2 only",Next Gen Software Solutions LLC,https://www.dice.com/job-detail/18be0135-b340-4a61-ad8e-337c94bf8486,"Job Role: Java FSD with AWS, CI/CD and Kafka Location: Wilmington, DE - 5 Days onsite | Local / Nearby location candidates Type: Contract W2 Number of Positions - 7 Experience Level - 9+ Years Job Responsibilities Executes creative software solutions, design, development, and technical troubleshooting with ability to think beyond routine or conventional approaches to build solutions or break down technical problems Develops secure high-quality production code, and reviews and debugs code writt",Delaware,08/12/2025,Today,Contract,$55 - $58,Easy Apply,Pending
Sr. Formworks OCR (Optical Character Recognition),ITECS,https://www.dice.com/job-detail/146281d3-c7e7-4fab-8376-f5a51b16e58c,"Title: Sr. Formworks OCR (Optical Character Recognition) Software Engineer Location: Hybrid near Alpharetta, GA, Rancho Cordova, CA or Oakland, CA. Onsite from Day1. Need local candiadtes. The Senior Software Engineer will help Enhance and support the Formworks application. Along with writing effective code, the position will be responsible for designing, building, delivering and maintaining a highly scalable functionality in Formworks application. The incumbent will use industry best practices","Alpharetta, Georgia",08/12/2025,Today,Third Party,,Easy Apply,Pending
Robotics Lab Technician,"Talent Software Services, Inc",https://www.dice.com/job-detail/41be3283-5f98-4c3d-b055-87e5463161fa,"Robotics Lab TechnicianJob Summary: Talent Software Services is in search of a Robotics Lab Technician for a contract position to work in Redmond, WA. The opportunity will be a year with a strong chance for a long-term extension.Position Summary: We are seeking a hands-on Robotics Lab Technician to support the daily operations, safety, and technical workflows of the Robotics Lab, a central facility for Physical AI and Robotics initiatives. This position plays a critical role in enabling hardware","Redmond, Washington",08/12/2025,Today,Contract,BASED ON EXPERIENCE,Easy Apply,Pending
"AI Engineer/Weehawken, NJ / Onsite-6 months",Suncap Technology,https://www.dice.com/job-detail/024a535a-0c68-48a2-a287-bce276f14208,"Role: AI Engineer Location : Onsite in Weehawken, NJ Duration : 6 months Experience in Java and Python. Hands-on AI application development, with a focus on cloud-based AI model integration, deployment, and optimization. Proficiency in frameworks such as Spring AI, LangChain, LangGraph, LlamaIndex, Agno, Pydantic, TensorFlow, etc. Experience with Azure AI services including Azure OpenAI and Azure AI Search. Familiarity with advanced AI architecture patterns like RAG, Agentic RAG, MCP, Function","Weehawken Township, New Jersey",08/12/2025,Today,Contract,,Easy Apply,Pending
Data Labeling Analyst- Bilingual Malay,Rose International,https://www.dice.com/job-detail/c0dd5157-b0ef-4afc-bb31-e8a8afb06fc1,"Date Posted: 08/08/2025 Hiring Organization: Rose International Position Number: 486750 Industry: Social Media Job Title: Data Labeling Analyst- Bilingual Malay Job Location: Menlo Park, CA, USA, 94025 Work Model: Onsite Employment Type: Temporary FT/PT: Full-Time Estimated Duration (In months): 7 Min Hourly Rate($): 28.00 Max Hourly Rate($): 28.00 Must Have Skills/Attributes: Annotation, Artificial Intelligence (AI), Chat Bots, Chat GPT, Google Suite Experience Desired: Language profici","Menlo Park, California",08/12/2025,Today,Full-time,USD 28.00 per hour,Easy Apply,Pending
Data Labeling Analyst- Bilingual Marathi,Rose International,https://www.dice.com/job-detail/2bd39d42-6508-44de-ba7f-a988168a26d9,"Date Posted: 08/08/2025 Hiring Organization: Rose International Position Number: 486743 Industry: Social Media Job Title: Data Labeling Analyst- Bilingual Marathi Job Location: Menlo Park, CA, USA, 94025 Work Model: Onsite Employment Type: Temporary FT/PT: Full-Time Estimated Duration (In months): 7 Min Hourly Rate($): 28.00 Max Hourly Rate($): 28.00 Must Have Skills/Attributes: Annotation, Artificial Intelligence (AI), Chat Bots, Chat GPT, Written Communication Experience Desired: Langu","Menlo Park, California",08/12/2025,Today,Full-time,USD 28.00 per hour,Easy Apply,Pending
Data Labeling Analyst- Bilingual Romanian,Rose International,https://www.dice.com/job-detail/1774fbd4-4274-4762-adf3-6663806f0ee0,"Date Posted: 08/08/2025 Hiring Organization: Rose International Position Number: 486746 Industry: Social Media Job Title: Data Labeling Analyst- Bilingual Romanian Job Location: Menlo Park, CA, USA, 94025 Work Model: Onsite Employment Type: Temporary FT/PT: Full-Time Estimated Duration (In months): 7 Min Hourly Rate($): 28.00 Max Hourly Rate($): 28.00 Must Have Skills/Attributes: Annotation, Artificial Intelligence (AI), Chat Bots, Chat GPT, Google Suite, Written Communication Experience","Menlo Park, California",08/12/2025,Today,Full-time,USD 28.00 per hour,Easy Apply,Pending
Data Labeling Analyst- Bilingual Greek,Rose International,https://www.dice.com/job-detail/7e4fb70d-2859-46d8-9057-7a7b0becbef4,"Date Posted: 08/08/2025 Hiring Organization: Rose International Position Number: 486749 Industry: Social Media Job Title: Data Labeling Analyst- Bilingual Greek Job Location: Menlo Park, CA, USA, 94025 Work Model: Onsite Employment Type: Temporary FT/PT: Full-Time Estimated Duration (In months): 7 Min Hourly Rate($): 28.00 Max Hourly Rate($): 28.00 Must Have Skills/Attributes: Annotation, Artificial Intelligence (AI), Chat Bots, Chat GPT, Google Suite, Written Communication Experience De","Menlo Park, California",08/12/2025,Today,Full-time,USD 28.00 per hour,Easy Apply,Pending
Data Labeling Analyst- Bilingual Hungarian,Rose International,https://www.dice.com/job-detail/9fea05ab-8c8a-4797-be4f-9fe533a42b6b,"Date Posted: 08/08/2025 Hiring Organization: Rose International Position Number: 486747 Industry: Social Media Job Title: Data Labeling Analyst- Bilingual Hungarian Job Location: Menlo Park, CA, USA, 94025 Work Model: Onsite Employment Type: Temporary FT/PT: Full-Time Estimated Duration (In months): 7 Min Hourly Rate($): 28.00 Max Hourly Rate($): 28.00 Must Have Skills/Attributes: Annotation, Artificial Intelligence (AI), Chat Bots, Chat GPT, Google Suite, Written Communication Experienc","Menlo Park, California",08/12/2025,Today,Full-time,USD 28.00 per hour,Easy Apply,Pending
Data Labeling Analyst- Bilingual Slovak,Rose International,https://www.dice.com/job-detail/d322d1ea-508d-46e9-9c6a-fdab62974fbe,"Date Posted: 08/08/2025 Hiring Organization: Rose International Position Number: 486742 Industry: Social Media Job Title: Data Labeling Analyst- Bilingual Slovak Job Location: Menlo Park, CA, USA, 94025 Work Model: Onsite Employment Type: Temporary FT/PT: Full-Time Estimated Duration (In months): 7 Min Hourly Rate($): 28.00 Max Hourly Rate($): 28.00 Must Have Skills/Attributes: Annotation, Artificial Intelligence (AI), Chat GPT, Google Suite, Written Communication Experience Desired: Lan","Menlo Park, California",08/12/2025,Today,Full-time,USD 28.00 per hour,Easy Apply,Pending
Data Labeling Analyst- Bilingual Dutch,Rose International,https://www.dice.com/job-detail/c0870fa9-4735-4157-b916-44e21a119a39,"Date Posted: 08/08/2025 Hiring Organization: Rose International Position Number: 486745 Industry: Social Media Job Title: Data Labeling Analyst- Bilingual Dutch Job Location: Menlo Park, CA, USA, 94025 Work Model: Onsite Employment Type: Temporary FT/PT: Full-Time Estimated Duration (In months): 7 Min Hourly Rate($): 28.00 Max Hourly Rate($): 28.00 Must Have Skills/Attributes: Annotation, Artificial Intelligence (AI), Chat Bots, Chat GPT, Google Suite, Written Communication Experience De","Menlo Park, California",08/12/2025,Today,Full-time,USD 28.00 per hour,Easy Apply,Pending
Data Labeling Analyst- Bilingual Czech,Rose International,https://www.dice.com/job-detail/c473cc86-d5a3-4bb1-9586-8ba6c58a8b1f,"Date Posted: 08/08/2025 Hiring Organization: Rose International Position Number: 486754 Industry: Social Media Job Title: Data Labeling Analyst- Bilingual Czech Job Location: Menlo Park, CA, USA, 94025 Work Model: Onsite Employment Type: Temporary FT/PT: Full-Time Estimated Duration (In months): 7 Min Hourly Rate($): 28.00 Max Hourly Rate($): 28.00 Must Have Skills/Attributes: Annotation, Artificial Intelligence (AI), Chat Bots, Chat GPT, Google Suite, Written Communication Experience De","Menlo Park, California",08/12/2025,Today,Full-time,USD 28.00 per hour,Easy Apply,Pending
Customer Data and Insights Manager / Contract / Remote,"Motion Recruitment Partners, LLC",https://www.dice.com/job-detail/ba2158e9-09d8-4cde-a21b-80eaa19c6505,"Leader in their industry, our exciting global SaaS construction platform client seeks a contract Customer Data and Insights Manager. This is a fully remote role. Strategically design, architect, and govern the VoC Data Mart, simplifying complex data integrations and future-proofing our infrastructure for corporate data strategies. Contract Duration: 6-Months Required Skills & Experience Bachelor's Degree Demonstrated experience with relational databases and the complexities of establishing data",Remote or California,08/12/2025,Today,Full-time,60/hr - 62/hr,Easy Apply,Pending
Business Execution Consultant 4 - Contingent,PTR Global,https://www.dice.com/job-detail/e4bd4469-b7e3-43c1-8341-4cce49b77194,"THIS JOB DESCRIPTION WAS CREATED BY AI, REVIEW BEFORE POSTING Position: Quality Analyst (WSP) Location: New York, New York Duration: Contract Job ID: 169387 Pay Range: $65-$75/hr. on W2 Job Overview: The QA/Business Execution Consultant will play a critical role in consulting on complex initiatives with broad impact and large-scale planning for Business Execution. The candidate will review and analyze multifaceted challenges, contribute to resolutions, and strategically collaborate with c","New York, New York",08/12/2025,Today,Full-time,USD 65.00 - 75.00 per hour,Easy Apply,Pending
Technical Writer III,HAYS,https://www.dice.com/job-detail/a3d774fe-b16e-4720-8e22-13ab79eb0663,"Technical Writer - Contract - San Francisco, CA - $90.91 - $90.91/hr. The final salary or hourly wage, as applicable, paid to each candidate/applicant for this position is ultimately dependent on a variety of factors, including, but not limited to, the candidate's/applicant's qualifications, skills, and level of experience as well as the geographical location of the position. Applicants must be legally authorized to work in the United States. Sponsorship not available. Our client is seeking","San Francisco, California",08/12/2025,Today,Contract,,Easy Apply,Pending
Snowflake Data Engineer & Reporting Developer,Intellect Tech Solutions LLC,https://www.dice.com/job-detail/138cc1b2-172d-437d-883a-11eeee52d8a9,"Hi,Hope you are doing well.Please find the below JD and let me know your interest at your earliest convenience. Snowflake Data Engineer & Reporting Developer Boston, MA (Hybrid) Position Summary The BEST Program Data Engineer & Reporting Developer with experience in Snowflake and reporting platform migrations will work with a Team comprised of BEST Program staff, agency business and technical SMEs and the new solution system integrator (SI) and product vendor to support the migration of legacy","Hybrid in Boston, Massachusetts",08/12/2025,Today,"Contract, Third Party",Up to $70,Easy Apply,Pending
Software Engineer 3 - Contingent,PTR Global,https://www.dice.com/job-detail/0b62a8a0-4696-43f9-ad94-2f4fe68a5b1a,"Data Engineer Chandler, AZ 24-month contract with possible conversion to FTE job id- 169399 Job Description: Consult on or participate in moderately complex initiatives and deliverables within Software Engineering and contribute to largescale planning related to Software Engineering deliverables. Review and analyze moderately complex Software Engineering challenges that require an in-depth evaluation of variable factors. Contribute to the resolution of moderately complex issues and consult wi","Chandler, Arizona",08/12/2025,Today,Full-time,USD 55.00 - 60.00 per hour,Easy Apply,Pending
Software Engineer 3 - Contingent,PTR Global,https://www.dice.com/job-detail/c4c213f1-0e3d-436f-ab5f-58d4bcf251b2,"Data/Big data Engineer 12 Months+ Chandler,AZ Hybrid PART OF THE PILOT PROGRAM Duration: 24month contract with possible conversion to FTE Location: Chandler, AZ only option 3 days a week in office Description In this contingent resource assignment you may: Consult on or participate in moderately complex initiatives and deliverables within Software Engineering and contribute to large-scale planning related to Software Engineering deliverables. Review and analyze moderately complex Software E","Chandler, Arizona",08/12/2025,Today,Full-time,USD 58.00 - 60.00 per hour,Easy Apply,Pending
Counterparty Credit Risk Business Analyst,Talent Networks LLC,https://www.dice.com/job-detail/2961192e-829d-491a-a23c-a9f8bb1ed48a,"Title: Senior IT Business Analyst Location: New York, NY (Need Onsite day 1, hybrid 3 days from office). Type of Employment: Fulltime As a Senior IT Business Analyst, you will play a crucial role in building and enhancing Credit Risk Regulatory Capital Calculations / applications. Responsibilities: Collaborate with stakeholders, customers, and product owners to gather and document business requirements for financial products and applications. Analyze data, customer needs to inform/assist prod","Hybrid in New York, New York",08/12/2025,Today,Full-time,Depends on Experience,Easy Apply,Pending
Senior Data Warehouse Business Analyst,Myticas LLC,https://www.dice.com/job-detail/171a1393-61c2-430d-a5fc-4cb574451cc4,"Clover Consulting (a Myticas Co.) has a direct client in Springfield, IL in need of a Data Warehouse BA for a REMOTE, long-term contract. Travel to Springfield may be required 2-4 times/year. Qualified candidates please provide resume. Functional Description: We are seeking a highly motivated Senior Business Analyst to support a large-scale Enterprise Data Warehouse (EDW) project. This role will serve as a critical liaison between business stakeholders and technical teams, ensuring that data war","Remote or Chicago, Illinois",08/12/2025,Today,Contract,,Easy Apply,Pending
Salesforce Consultant,Alpha Net Consulting LLC,https://www.dice.com/job-detail/554c7623-a83b-4be1-a094-57df77c638a1,"Position : Salesforce Business Analyst with Admin experience Location : Fremont, CA OR Austin TX Minimum Skills Required: 5+ years of experience in Salesforce Service Cloud configurations In-depth knowledge of Salesforce products and functionality Experience working in complex salesforce orgs Experience working with Base customization (Record types, objects, page layouts, macros, flows, reports and dashboards, etc.), security models, lightning framework, apps, and consoles Understand requirement","Fresno, California",08/12/2025,Today,"Full-time, Contract",$Best,Easy Apply,Pending
