title,company,link,description,location,date_added,date_posted,job_type,salary,apply_text,status
Specialty Software Engineer 4 - Contingent,PTR Global,https://www.dice.com/job-detail/a0425a64-94ad-4887-8160-4a383596f250,"Job Title: ServiceNow Developer Location: Charlotte, North Carolina Duration: Contract Job ID: 169698 Pay Range: $75-85 $/hr on W2 (ONLY W2 no C2C) Job Overview: In this contingent resource assignment, the candidate will consult on complex initiatives with broad impact and large-scale planning for Specialty Software Engineering. The role involves reviewing and analyzing multifaceted, larger-scale, or longer-term challenges that require in-depth evaluation of multiple factors, including inta","Charlotte, North Carolina",08/26/2025,Today,Full-time,USD 75.00 - 85.00 per hour,Easy Apply,Applied
Senior Business Analyst,ALTA IT Services,https://www.dice.com/job-detail/1188b2c0-7fa7-47ae-bee9-78fea4ccdd23,"Senior Business Analyst Compensation: $63/hr W2 NO C2C 100% Remote This is a fully remote, telework position with potential travel to the Washington D.C. metro area on special occasions. Security Clearance: ship and ability to successfully obtain government-issued Public Trust clearance. ALTA IT Services is seeking a seeking a customer experience focused Senior Business Analyst - Reporting and Analytics to bridge the gap between business needs and cutting-edge data solutions-translating cus","Washington, District of Columbia",08/26/2025,Today,Full-time,USD 63.00 per hour,Easy Apply,Applied
Senior Embedded Software Engineer,ISCO International LLC,https://www.dice.com/job-detail/f8a37568-44f1-41f0-9eb8-3f45f0a6315c,"Position Description ISCO is looking for a Senior Embedded Software Engineer to help architect, develop and implement ISCO's new telecommunications products. This role has a wide scope that may include implementation of DSP algorithms, development of drivers and APIs, design of O&M functions, and even support of automated test development efforts. This role requires a Senior level Software Engineer with a broad range of skills, innovative spirit and desire to work in a fast-paced, entrepreneuri","Hybrid in Schaumburg, Illinois",08/26/2025,Today,Full-time,depends on experience,Easy Apply,Applied
"Data/BI Architect (Big Data, AI, Machine Learning, SQL)",Tellus Solutions,https://www.dice.com/job-detail/c093fe4d-34b5-45e9-8656-7ee52bb9a4e8,"Job Description: Data Business Intelligence (BI) Architect role is a hybrid of data architecture, engineering & business strategy, bridging the gap between tech data solutions & business objectives. Designs, develops & maintains the overall data strategy ensuring the County data in scope is accessible, reliable & secure for analysis and decision-making. The right candidate has experience in architecting data solutions that can be used for descriptive, diagnostic, predictive & prescriptive analyt",Hybrid in Michigan,08/26/2025,Today,Contract,$93.57 - $93.58,Easy Apply,Applied
Mobile Software Engineer,"Talent Software Services, Inc",https://www.dice.com/job-detail/0e9438f4-f2ae-4652-b1aa-db764b94fa59,"Mobile Software EngineerJob Summary: Talent Software Services is in search of a Mobile Software Engineer for a contract position in Arden Hill, MN. The opportunity will be a year with a strong chance for a long-term extension.Position Summary: Software developed for the medical device industry requires rigor and attention to detail to meet industry and regulatory standards. It takes someone who can problem-solve, is unwilling to give up, and is in tune with the highly regulated nature of medical","Arden Hills, Minnesota",08/26/2025,Today,Contract,BASED ON EXPERIENCE,Easy Apply,Applied
Staff Systems Engineer,Yoh - A Day & Zimmerman Company,https://www.dice.com/job-detail/2f57e860-ee99-463e-ba8c-569df9aa0488,"Staff Systems Engineer W2 Contract/Contract to Hire (NO C-C) McKinney, TX (Onsite) Job Title: Staff Systems Engineer (3 6 Month Contract | Possible Conversion) Location: Onsite at SRS (initially 5 days/week, potential hybrid after evaluation) Contract Length: 3 6 months with possible conversion (no guarantee) Work Authorization: No C2C. Candidates must be authorized to work in the U.S. without sponsorship now or in the future. About the Role We are seeking a hands-on Staff Systems Engineer","McKinney, Texas",08/26/2025,Today,Contract,Competitive,Easy Apply,Applied
IT Engineer Specialist in Hybrid Vienna VA OR Pensacola FL OR Winchester VA,Quantum Vision LLC,https://www.dice.com/job-detail/84efb608-c1ce-4181-a017-4df640d6b1d3,"Job Title: IT Engineer Specialist Visa: GC-EAD, TN Location: Hybrid Vienna, VA / Pensacola, FL / Winchester, VA Experience Level: 10+ Years Position Summary We are seeking an IT Engineer Specialist to lead enterprise-wide End-of-Life (EOL) Software Management Initiatives. Over time, the enterprise software catalog has accumulated redundant, unsupported, and legacy applications, increasing operational risk and complexity. This role will drive the identification, assessment, retirement, and s","Vienna, Virginia",08/26/2025,Today,Contract,$72.00,Easy Apply,Applied
Python Lead (Entry Level Architect),Purple Drive Technologies LLC,https://www.dice.com/job-detail/985d8e9b-d881-4ed3-8d01-aa5ffad04491,"Responsibilities: Design and implement data pipelines using Python, SQL, and Unix to ensure data quality and integrity. Work with Docker to containerize data pipelines and ensure scalability and portability. Collaborate with cross-functional teams to gather requirements and integrate data analytics into business operations. Ensure data privacy and security by implementing appropriate controls and protocols Stay up-to-date with emerging trends and technologies in data analytics and machine learni",Remote,08/26/2025,Today,"Contract, Third Party",$60 - $70,Easy Apply,Applied
Software Engineer,Horizontal Talent,https://www.dice.com/job-detail/8fe4aabb-5fe8-4c7f-9a94-717a2724226c,"Join our dynamic team as a Full Stack Software Engineer, where you'll play a crucial role in developing and maintaining clinical web applications. This remote position offers the opportunity to work with cutting-edge technologies in a healthcare setting. Responsibilities Design and develop backend services to efficiently process data from JSON files. Enhance and support clinical web applications using JavaScript, Angular, React, and C#/.NET. Develop APIs and integrations to ensure seamless data","Waconia, Minnesota",08/26/2025,Today,Contract,Depends on Experience,Easy Apply,Applied
Data Engineer,Rose International,https://www.dice.com/job-detail/e9a44e6f-620c-4119-8281-3106c8e2b17b,"Date Posted: 08/22/2025 Hiring Organization: Rose International Position Number: 487464 Industry: Social Media Job Title: Data Engineer Job Location: Menlo Park, CA, USA, 94025 Work Model: Onsite Shift: Mon - Fri 8am - 5pm Employment Type: Temporary FT/PT: Full-Time Estimated Duration (In months): 4 Min Hourly Rate($): 85.00 Max Hourly Rate($): 90.00 Must Have Skills/Attributes: Data Infrastructure, Python, Six Sigma, SQL Experience Desired: Python development (4 yrs); Programming Pytho","Menlo Park, California",08/26/2025,Today,Full-time,USD 85.00 per hour,Easy Apply,Applied
