title,company,link,description,location,date_added,date_posted,job_type,salary,apply_text,status
Business Analyst,"Custom Business Solutions, Inc.",https://www.dice.com/job-detail/0ba90894-0d3f-40b7-9dfb-ea62017d6c78,"NO SUBCONTRACTS, C2C or 1099 applicants. W2 candidates only. Custom Business Solutions, a Michigan-based talent agency, is seeking an experienced Business Analyst for a hybrid workplace opportunity in metro Detroit, Michigan. Qualified candidates submitting an application will be considered for this contract opportunity. REQUIRED TECHNICAL SKILL SET: 3+ years of relevant work experience, with a Bachelor's degree or equivalent in Technology, Digital Media, Digital Business, E-commerce, or similar","Hybrid in Dearborn, Michigan",08/25/2025,Today,Contract,$45 - $50,Easy Apply,Applied
Sr. AI/ML Data Engineer,Transcend Softech LLC,https://www.dice.com/job-detail/e3e08d18-2d29-4eaa-b51f-6adaa88f2451,"AI/ML Engineer with Data Engineering experience Washington, DC 6-12 Months+ Required Skills: Azure Machine Learning Azure Data Factory Databricks Azure Synapse. Python, SQL and Machine learning models, workflows etc","Washington, District of Columbia",08/20/2025,Today,Contract,,Easy Apply,Applied
Oracle Cloud ERP Functional Specialist Procure to Pay (P2P) (Local to DMV area),Source Code Technologies LLC,https://www.dice.com/job-detail/80260458-6e6a-4eb8-b10d-0455a1c8b460,"Job Title: Oracle Cloud ERP Functional Specialist Procure to Pay (P2P)Location: Washington, DC (Hybrid 3 days onsite per week)Duration: 1+ Years (Multi-Year Contract) Job Description:We are seeking an experienced Oracle Cloud ERP Functional Specialist P2P to join our team on a long-term engagement in Washington, DC. The ideal candidate will have a strong background in business systems analysis, Oracle ERP implementations, and hands-on functional expertise within the Procure to Pay (P2P) process","Hybrid in Washington, District of Columbia",08/20/2025,Today,Contract,Depends on Experience,Easy Apply,Applied
Senior Embedded Software Engineer,ISCO International LLC,https://www.dice.com/job-detail/a1fc412b-7d60-4552-a928-1fe0ceedf898,"Position Description ISCO is looking for a Senior Embedded Software Engineer to help architect, develop and implement ISCO's new telecommunications products. This role has a wide scope that may include implementation of DSP algorithms, development of drivers and APIs, design of O&M functions, and even support of automated test development efforts. This role requires a Senior level Software Engineer with a broad range of skills, innovative spirit and desire to work in a fast-paced, entrepreneuri","Hybrid in Schaumburg, Illinois",08/21/2025,Today,Full-time,depends on experience,Easy Apply,Applied
Senior Azure AI Engineer,"Alltech Consulting Services, Inc.",https://www.dice.com/job-detail/0da3a463-0fee-4766-bd16-578761a0d4ef,"Role: Senior Azure AI Engineer Location: REMOTE Need Passport Number Visa: H1B L2E3 SkillsMust haveQualifications:Bachelor's or Master's degree in Computer Science, Engineering, or a related field.Proven experience as an Azure AI Engineer or similar role.Hands-on experience with Azure AI services, including Azure AI Document Intelligence, Azure AI Vision, Azure AI Language, Azure AI Translator, and Azure OpenAI Service.Strong programming skills in languages such as Python, C#, or Java.Experienc",Remote,08/20/2025,Today,"Contract, Third Party",$60 - $70,Easy Apply,Applied
Business Analyst,Purple Drive Technologies LLC,https://www.dice.com/job-detail/8240bc94-658e-4c62-8d07-ce045c0de2a9,"Role: Business Analyst Exp: 6- 8 Years Skills: MySQL, Oracle PLSQL, Excellent communication, Data Lake, Informatica, Teradata, and Epic Domain: BFSI Leads the development of the enterprise-wide Data Architecture. Supports teams with daily data content needs and proper data modeling. Designs and implements ETL processes for data marts, data lake and warehouses. Analyzes data usage and aligns it with project requirements. Contributes to data governance and enforces data standards. Captures and con","Pittsburgh, Pennsylvania",08/21/2025,Today,"Contract, Third Party",Depends on Experience,Easy Apply,Applied
GenAI Engineer,Balin Technologies LLC,https://www.dice.com/job-detail/fbfc5b4c-fd2a-48ca-a5b9-70fcbf9239cf,"Role: GenAI EngineerLocation: Parsippany, NJ(hybrid) Skills Set:Artificial Intelligence & Machine Learning: LangChain, LangGraph, LangSmith, Hugging Face, RAG, Gemini Models, GenAI, AI Agents, Agentic AI, n8n, gong, Outreach, Microsoft Azure AI foundry, Microsoft Copilot, NLP, Sentiment Analysis, TensorFlow, PyTorch, Scikit-learn, MLflow, NumPy, Pandas, Deep Learning, MLOps, Azure Machine Learning, LoRA,QLoRA, PEFT, and RLHF Microsoft 365 & Power Platform: Power Apps (Canvas & Model-driven), Pow","Hybrid in Parsippany-Troy Hills, New Jersey",08/18/2025,Today,Contract,Depends on Experience,Easy Apply,Applied
Salesforce Technical Business Analyst,Cloud and Things,https://www.dice.com/job-detail/84c91d80-dbf6-4de0-aec6-c8fb2020f9b3,"Our goal is to solve problems and deliver results for our clients. At Cloud and Things, you can be a part of transforming the public sector's IT environment. Our team is on the forefront of helping to solve the government's most complex IT challenges. If you are seeking a role that offers the opportunity to work on rewarding projects, consider a career with Cloud and Things. *This is an exempt position. Salary commensurate with experience* Overview: We are seeking a Technical Business Analyst wh","Remote or Albany, New York",08/20/2025,Today,"Full-time, Contract, Third Party","$$80,000 - $100,000",Easy Apply,Applied
Job opportunity -Senior GenAI Developer with Prompt/RAG /Irving TX ( 2/3 days onsite per week),IFLOWSOFT Solutions Inc.,https://www.dice.com/job-detail/e772a29f-011c-499d-bbd0-efbe2bc9595d,Job Title: Senior GenAI Developer with Prompt Engg with RAG arch exp Client: Telecomm Location: Irving TX (2/3 days onsite) Key Responsibilities: Design and implement RAG (Retrieval-Augmented Generation) architectures for AI applications.Develop and optimize AI prompts and prompt engineering strategies for improved model responses.Work with language models (LLMs) to fine-tune and integrate into applications.Build and maintain scalable backend systems to support AI-driven features.Implement APIs,"Hybrid in Irving, Texas",08/24/2025,Today,Contract,Depends on Experience,Easy Apply,Applied
Intelligent Automation Solution Architect,TekShapers,https://www.dice.com/job-detail/922d9c75-7375-4438-a1b5-80b374e79a12,"Intelligent Automation Solution Architect Full-time/Permanent Employment Location: Minneapolis, MN Job Description Minimum 12 years' experience on Intelligent automation solution domain on leading enterprise platforms (Automation Anywhere and UiPath) Past 4 years been actively playing role of Intelligent Automation Solution Architect helping clients solve business problems in core business areas (SCM, Finance, Legal, etc.) with adoption of Hyperautomation solutions (RPA, OCR, AI-ML, Agentic AI","Minneapolis, Minnesota",08/21/2025,Today,"Full-time, Part-time, Contract, Third Party",,Easy Apply,Applied
