title,company,link,description,location,date_added,date_posted,job_type,salary,apply_text,status
Machine Learning,Talent Groups,https://www.dice.com/job-detail/7c52f7c7-3c74-450c-8047-4378368218ca,"Job Description: Machine Learning, Deep Learning (Large Language Models), PyTorch, NLP, TensorFlow Experience in Transformer architecture, Optimization Techniques Experience in Fine-tuning techniques and deployment of model algorithms",Remote,06/08/2025,3d ago,"Contract, Third Party",Depends on Experience,Easy Apply,Pending
Machine Learning Engineer - McLean/Richmond (Hybrid and W2 Only),"Collaborate Solutions, Inc.",https://www.dice.com/job-detail/750e608e-a6f2-401d-b1a0-7c72cb15cd45,"Machine Learning Engineer Duration: 7 Months + Possible Extension Location: McLean, VA or Richmond, VA Would need to be hybrid onsite 3 times per week. Interview: 45 minutes zoom video interviews w/ Victor and/another team leads Must Have: 4 years of Python, Scala, or Java3 years of experience designing and building data-intensive solutions using distributed computing2 years of on-the-job experience with an industry recognized ML frameworks (scikit-learn, PyTorch, Dask, Spark, or TensorFlow) pre","Hybrid in McLean, Virginia",06/08/2025,Yesterday,Contract,$50 - $60,Easy Apply,Pending
Machine Learning Architect,Aroha Technologies,https://www.dice.com/job-detail/22eb72a9-6aba-403a-84b6-610c9ff9faf2,Job Title: Machine Learning Architect Job Location: Remote. Job Description: Experience as technical architect 8 years of Machine Learning experience,California,06/08/2025,Today,Third Party,$60,Easy Apply,Pending
AI / ML Engineer / Data Scientist,Dexian DISYS,https://www.dice.com/job-detail/747a8de7-7d1c-4146-94f4-7e7471d6c574,"Job Title: AI/ML Engineer / Data Scientist Location: Jersey City, NJ [OR] Boston, MA ( Choose Any 1 ) Hybrid: 3 days Onsite & 2 days REMOTE Duration: 6+ Months (CONTRACT TO HIRE) Description: Looking for a hands-on AI/ML Engineer to join our dynamic Technology Research and Innovation team, where you'll play a pivotal role in spearheading AI initiatives and innovation. As an AI/ML Engineer, you will play a pivotal role in designing, developing, and deploying Artificial Intelligence systems that s","Jersey City, New Jersey",06/08/2025,Today,"Full-time, Contract",$70.00 - $71.00 per hour,Easy Apply,Pending
AI/ML Engineer,Conch Technologies,https://www.dice.com/job-detail/a4dd2900-f19f-4df1-ae34-8f66ad7dd99e,"Hi, Greetings from Conch Technologies Inc Position: ML Engineer Location: Bentonville, AR or Sunnyvale, CA ( 5 days a week onsite ) Duration; 12+ Months Contract Machine Learning Engineer is responsible for building scalable end-to-end data science solutions. Build ML and statistics driven models and continuous model monitoring workflows. Own the MLOps lifecycle, from data monitoring to refactoring data science code to building robust ML model lifecycle. Scale and deploy holistic machine lea","Bentonville, Arkansas",06/08/2025,Yesterday,Contract,,Easy Apply,Pending
"Senior Python Developer with AI/ML (Data Scientist)- Local to Mississauga, ON",Long Finch Technologies,https://www.dice.com/job-detail/2d634227-1b76-4114-990e-e8fc6d61424e,"Senior Python Developer with AI/ML (Data Scientist)- Local to Mississauga, ON Contract and Fulltime Mississauga, ON- 3 days onsite every week Client is strong consultant who has very good experience in Python Development with Artificial intelligence and Machine Learning experience. Only local to Mississauga","Mississauga, Ontario",06/08/2025,2d ago,Contract,Depends on Experience,Easy Apply,Pending
Lead Java Developer with AI/ML,Aventine software,https://www.dice.com/job-detail/4c96c66d-fb5f-4a61-ae53-bb7d1a5a16c4,"Hi Folk's,Note: Need only Lead with overall 12+ years and AI/ML experience min 6 months.Job Title: Lead Java Developer with AI/ML Location: Phoenix Arizona (Onsite)Experience Required: 12+ years Job Summary:We are seeking a Lead Java Developer with experience in AI/MLRequired Skills & Experience:10+ years of experience in application development.JAVA, JEE, Spring, Hibernate, AngularJS, Microservice, Spring.AI/ML","Phoenix, Arizona",06/08/2025,Yesterday,"Contract, Third Party",$60 - $70,Easy Apply,Pending
AI/ML Engineering,Data Wave Technologies Inc,https://www.dice.com/job-detail/bc636b47-e554-46de-a118-6b33e700ec2d,"Job Title: AI/ML Engineering Location: Deerfield, IL Duration: Full Time Job description Required: 7+ years of hands-on experience in applied machine learning, deep learning, and AI system deployment Strong Python engineering background with ML/DL frameworks: TensorFlow, PyTorch, Keras, OpenCV Proven experience in Computer Vision tasks, including object detection, segmentation, and OCR Experience training and fine-tuning models such as: YOLOv5/v8, EfficientNet, Faster-RCNN, TrOCR, Vision Tran","Deerfield, Illinois",06/08/2025,Yesterday,"Full-time, Contract",,Easy Apply,Pending
AWS Gen AI / ML Engineer,Photon,https://www.dice.com/job-detail/52d420aa-ebb6-4afd-8051-938063c0aa66,"We are seeking an AWS Gen AI / ML Engineer to design, deploy, and optimize cloud-native machine-learning systems that power our next-generation predictive-automation platform. You will blend deep ML expertise with hands-on AWS engineering, turning data into low-latency, high-impact insights. The ideal candidate commands statistics, coding, and DevOps and thrives on shipping secure, cost-efficient solutions at scale.Objectives of this roleDesign and productionize cloud ML pipelines (SageMaker, S","Plano, Texas",06/08/2025,5d ago,"Third Party, Contract",Depends on Experience,Easy Apply,Pending
Machine Learning Project Manager,"Milestone Technologies, Inc.",https://www.dice.com/job-detail/9699c7b4-ed8c-4abe-99b1-ab667ef31a6c,"Title: Audio Project Manager Location: Redmond, WA Duration: 12 Months Project Overview The Team brings together a world-class team of researchers, developers, and engineers to create the future of virtual and augmented reality, which together will become as universal and essential as smartphones and personal computers are today. Just as personal computers have done over the past 45 years, AR and VR will ultimately change everything about how we work, play, and connect. We are developing all the","Redmond, Washington",06/08/2025,4d ago,Contract,$50 - $70,Easy Apply,Pending
"Sr. Java Machine Learning Developer - Irving, TX (Hybrid setting)",Xoriant Corporation,https://www.dice.com/job-detail/694c1a01-2725-4b18-9b1d-a836eb966cfe,"Position: Sr. Java Machine Learning Developer Location: Irving, TX (Hybrid Onsite) Minimum Overall 10+ years of experience is require Required Skills &Experience: Rigorous knowledge of Java and Python programming to develop software.In-depth knowledge of machine learning data structures and modeling, software architecture, libraries and frameworks to create AI that accomplishes outlined goals.Strong skills, especially in to create algorithms.Effective and written communication skills to coll","Hybrid in Irving, Texas",06/08/2025,3d ago,Contract,Depends on Experience,Easy Apply,Pending
Senior Program Manager with AI/ML,Indus River Technologies Inc.,https://www.dice.com/job-detail/a51d6a07-7b80-4f7c-914a-0c2e70013d9a,"Senior Program Manager with AI/ML Experience Location: Seattle, WA(On-Site) Job Description: We are seeking a results-driven Senior Program Manager (IC4/IC5) to lead and drive execution across high-impact AI programs, including strategic partnerships, Wave 1 customer engagements, and internal AI initiatives. This individual will collaborate cross-functionally with engineering, product, go-to-market, and customer success teams to ensure timely delivery, alignment, and execution of strategic objec","California City, California",06/08/2025,2d ago,Contract,"$40,000 - $60,000",Easy Apply,Pending
W2 Role || Machine Learning/Prompt Engineer,"V.L.S. Systems, Inc",https://www.dice.com/job-detail/ff82ff20-6c65-43af-b7ab-e092551a896e,"Role: Principal Developer - ML/Prompt Engineer Location: Boston, MA Duration: 6+ Months Technologies: Amazon Bedrock, RAG Models, Java, Python, C or C++, AWS Lambda, Responsibilities: Responsible for developing, deploying, and maintaining a Retrieval Augmented Generation (RAG) model in Amazon Bedrock, our cloud-based platform for building and scaling generative AI applications. Design and implement a RAG model that can generate natural language responses, commands, and actions based on user qu","Hybrid in Boston, Massachusetts",06/08/2025,Yesterday,"Contract, Third Party",Depends on Experience,Easy Apply,Pending
Machine Learning Engineer with Generative AI,PETADATA,https://www.dice.com/job-detail/dd45f0d1-bb54-4d05-a2b9-0b74099226dd,"Job Title: Machine Learning Engineer with Generative AI Location: Las Vegas, NV - REMOTE EXPERIENCE: 12+ YRS Job Type: W2/C2C PETADATA is currently hiring for the position of Machine Learning Engineer with Generative AI for one of their clients. Job Overview: We seek a forward-thinking Machine Learning Engineer with a deep focus on Generative AI technologies within the Azure ecosystem. This pivotal role is dedicated to pioneering AI-driven solutions, mainly to deploy a state-of-the-art chatb","Las Vegas, Nevada",06/08/2025,3d ago,"Full-time, Third Party",,Easy Apply,Pending
AI/ML Engineer with 12+ years (day 1 onsite),"M3BI, LLC.",https://www.dice.com/job-detail/93f8881d-dde8-401f-80b3-1411de142824,"Overall experience of at least 12+ years is needed Design and implement scalable MLOps supportive data pipelines for data ingestion, processing, and storage. Experience deploying models with MLOps tools such as Vertex Pipelines, Kubeflow, or similar platforms. Experience implementing and supporting end-to-end Machine Learning workflows and patterns. Expert level programming skills in Python and experience with Data Science and ML packages and frameworks. Proficiency with containerization techno","Phoenix, Arizona",06/08/2025,3d ago,"Third Party, Contract",Depends on Experience,Easy Apply,Pending
